,Course,Course Title,School,School Code,Department Name,Course Subject,Course Number,Average GPA,Total Grades,Level,Weeder,weeded%,Easy A,A%
0,AAS 103,First Year Social Science Seminar,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,103,3.3108108108108105,37,100.0,False,2.7027027027027026,False,51.35135135135135
1,AAS 104,First Year Humanities Seminar,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,104,3.436440677966101,118,100.0,False,1.694915254237288,False,56.779661016949156
2,AAS 111,Introduction to Africa and Its Diaspora,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,111,3.4362017804154297,337,100.0,False,2.0771513353115725,False,55.78635014836796
3,AAS 208,Introduction to African Art,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,208,3.075,32,200.0,True,12.5,False,37.5
4,AAS 248,"Crime, Race, and the Law","Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,248,3.685294117647059,34,200.0,False,0.0,False,76.47058823529412
5,AAS 254,The History and Evolution of Hip Hop Culture,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,254,3.7825242718446597,206,200.0,False,0.0,False,83.98058252427184
6,AAS 262,The Modern Civil Rights Movement,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,262,3.2212121212121216,33,200.0,True,6.0606060606060606,False,48.484848484848484
7,AAS 290,Selected Topics in Black World Studies,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,290,3.58951048951049,143,200.0,False,1.3986013986013985,False,72.02797202797203
8,AAS 322,"Introduction to Environment Politics:  Race, Class, and Gender","Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,322,3.3555555555555556,45,300.0,False,4.444444444444445,False,48.888888888888886
9,AAS 358,Topics in Black World Studies,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,358,3.466417910447761,134,300.0,False,5.970149253731343,False,64.17910447761194
10,AAS 422,African Cultures,"Literature, Science & the Arts",LSA,Department of Afro-American and African Studies,AAS,422,3.2235294117647055,34,400.0,False,0.0,False,20.588235294117645
